window_end_ts,p50_ingest_ms,p95_ingest_ms,p50_feature_ms,p95_feature_ms
2025-08-15T10:00:03+00:00,0.08,1.64,225.15,412.34
2025-08-15T10:00:03+00:00,0.06,0.13,507.51,957.17
2025-08-15T10:00:03+00:00,0.06,0.13,506.97,941.83
2025-08-15T10:00:03+00:00,0.07,0.3,510.14,963.91
2025-08-15T10:00:03+00:00,0.06,0.18,510.49,949.73
2025-08-15T10:00:03+00:00,0.07,0.32,506.65,953.67
2025-08-15T10:00:03+00:00,0.06,0.11,513.15,957.25
2025-08-15T10:00:03+00:00,0.06,0.12,496.95,942.35
2025-08-15T10:00:03+00:00,0.06,0.11,510.41,955.13
2025-08-15T10:00:03+00:00,0.07,0.44,498.19,951.99
2025-08-15T10:00:03+00:00,0.06,0.12,501.1,942.68
2025-08-15T10:00:03+00:00,0.06,0.1,504.07,949.04
2025-08-15T10:00:03+00:00,0.08,0.35,515.82,964.33
2025-08-15T10:00:03+00:00,0.06,0.11,495.56,939.84
2025-08-15T10:00:03+00:00,0.06,0.1,503.59,952.13
2025-08-15T10:00:03+00:00,0.06,0.11,502.13,950.87
2025-08-15T10:00:03+00:00,0.08,0.23,512.98,960.82
2025-08-15T10:00:03+00:00,0.06,0.12,505.38,949.22
2025-08-15T10:00:03+00:00,0.08,0.18,508.7,951.1
2025-08-15T10:00:03+00:00,0.06,0.12,500.35,947.08
2025-08-15T10:00:03+00:00,0.06,0.26,505.92,950.94
2025-08-15T10:00:03+00:00,0.06,0.11,517.1,958.43
2025-08-15T10:00:03+00:00,0.06,0.1,501.73,946.29
2025-08-15T10:00:03+00:00,0.06,0.13,515.09,959.79
2025-08-15T10:00:03+00:00,0.06,0.27,505.22,948.21
2025-08-15T10:00:03+00:00,0.06,0.15,505.25,942.32
2025-08-15T10:00:03+00:00,0.06,0.13,494.1,950.61
2025-08-15T10:00:03+00:00,0.06,0.11,504.73,957.26
2025-08-15T10:00:03+00:00,0.07,0.38,505.6,944.56
2025-08-15T10:00:03+00:00,0.06,0.19,504.52,951.48
2025-08-15T10:00:03+00:00,0.08,0.15,509.83,957.6
2025-08-15T10:00:03+00:00,0.07,0.42,507.09,952.29
2025-08-15T10:00:03+00:00,0.06,0.12,506.31,949.04
2025-08-15T10:00:03+00:00,0.06,0.13,500.05,943.2
2025-08-15T10:00:03+00:00,0.07,0.68,511.13,959.86
2025-08-15T10:00:03+00:00,0.06,0.13,500.75,947.44
2025-08-15T10:00:03+00:00,0.06,0.11,515.73,959.4
2025-08-15T10:00:03+00:00,0.06,0.11,506.4,948.22
2025-08-15T10:00:03+00:00,0.08,0.58,503.12,956.34
2025-08-15T10:00:03+00:00,0.06,0.1,509.16,948.95
2025-08-15T10:00:03+00:00,0.07,0.15,507.9,946.63
2025-08-15T10:00:03+00:00,0.11,0.78,506.31,954.38
2025-08-15T10:00:03+00:00,0.07,0.14,504.53,944.78
2025-08-15T10:00:03+00:00,0.07,0.11,508.02,952.14
2025-08-15T10:00:03+00:00,0.07,0.13,496.68,949.8
2025-08-15T10:00:03+00:00,0.08,0.45,497.03,950.95
2025-08-15T10:00:03+00:00,0.06,0.11,501.51,949.66
2025-08-15T10:00:03+00:00,0.06,0.1,500.81,947.97
2025-08-15T10:00:03+00:00,0.06,0.12,511.4,954.57
2025-08-15T10:00:03+00:00,0.07,1.09,508.18,949.2
2025-08-15T10:00:03+00:00,0.06,0.12,507.17,959.1
2025-08-15T10:00:03+00:00,0.07,0.17,495.19,941.34
2025-08-15T10:00:03+00:00,0.05,0.11,515.56,959.38
2025-08-15T10:00:03+00:00,0.08,0.49,492.11,945.21
2025-08-15T10:00:03+00:00,0.06,0.1,502.66,945.3
2025-08-15T10:00:03+00:00,0.1,0.71,507.19,950.95
